configuration,success_probability,mean_time_to_break,detection_rate,mean_layers_broken
layers_3,0.06,2.0821889241536457e-05,1.0,0.74
layers_5,0.0,1321.0158230771438,1.0,0.54
layers_7,0.0,1321.0158230771438,1.0,0.54
layers_9,0.0,1417.9900602561029,1.0,0.92
entropy_16bits,0.0,1321.0158230771438,1.0,0.54
entropy_32bits,0.0,1321.0158230771438,1.0,0.54
entropy_64bits,0.0,1321.0158230771438,1.0,0.54
entropy_128bits,0.0,1321.0158230771438,1.0,0.54
puzzle_row_parity,0.0,1321.0158230771438,1.0,0.54
puzzle_linear_transform,0.0,1321.0158230771438,1.0,0.54
puzzle_hash_challenge,0.0,1321.0158230771438,1.0,0.54
window_0.5s,0.0,1321.0158230771438,1.0,0.54
window_1.0s,0.0,1321.0158230771438,1.0,0.54
window_2.0s,0.0,1321.0158230771438,1.0,0.54
window_5.0s,0.0,1321.0158230771438,1.0,0.54
hash_sha256,0.0,1321.0158230771438,1.0,0.54
hash_sha384,0.0,1321.0158230771438,1.0,0.54
hash_sha512,0.0,1321.0158230771438,1.0,0.54
hash_blake2b,0.0,1321.0158230771438,1.0,0.54
threshold_2of3,0.0,1321.0158230771438,1.0,0.54
threshold_3of5,0.0,1321.0158230771438,1.0,0.54
threshold_4of7,0.0,1321.0158230771438,1.0,0.54
threshold_5of9,0.0,1321.0158230771438,1.0,0.54
