,value
success_rate_mean,0.997391304347826
success_rate_median,1.0
success_rate_std,0.012235867199539391
success_rate_min,0.94
success_rate_max,1.0
success_rate_q1,1.0
success_rate_q3,1.0
time_to_break_mean,1267.796624595566
time_to_break_median,1321.0158230771438
time_to_break_std,271.01614274743366
time_to_break_min,2.0821889241536457e-05
time_to_break_max,1417.9900602561029
time_to_break_q1,1321.0158230771438
time_to_break_q3,1321.0158230771438
detection_rate_mean,1.0
detection_rate_median,1.0
detection_rate_std,0.0
detection_rate_min,1.0
detection_rate_max,1.0
detection_rate_q1,1.0
detection_rate_q3,1.0
